column_a,code,browser,cldr_short_name
2552,U+1F1F5 U+1F1F9,🇵🇹,Portugal
2553,U+1F1F5 U+1F1FC,🇵🇼,Palau
2554,U+1F1F5 U+1F1FE,🇵🇾,Paraguay
2555,U+1F1F6 U+1F1E6,🇶🇦,Qatar
2556,U+1F1F7 U+1F1EA,🇷🇪,Réunion
2557,U+1F1F7 U+1F1F4,🇷🇴,Romania
2558,U+1F1F7 U+1F1F8,🇷🇸,Serbia
2559,U+1F1F7 U+1F1FA,🇷🇺,Russia
2560,U+1F1F7 U+1F1FC,🇷🇼,Rwanda
2561,U+1F1F8 U+1F1E6,🇸🇦,Saudi Arabia
2562,U+1F1F8 U+1F1E7,🇸🇧,Solomon Islands
2563,U+1F1F8 U+1F1E8,🇸🇨,Seychelles
2564,U+1F1F8 U+1F1E9,🇸🇩,Sudan
2565,U+1F1F8 U+1F1EA,🇸🇪,Sweden
2566,U+1F1F8 U+1F1EC,🇸🇬,Singapore
2567,U+1F1F8 U+1F1ED,🇸🇭,St. Helena
2568,U+1F1F8 U+1F1EE,🇸🇮,Slovenia
2569,U+1F1F8 U+1F1EF,🇸🇯,Svalbard & Jan Mayen
2570,U+1F1F8 U+1F1F0,🇸🇰,Slovakia
2571,U+1F1F8 U+1F1F1,🇸🇱,Sierra Leone
2572,U+1F1F8 U+1F1F2,🇸🇲,San Marino
2573,U+1F1F8 U+1F1F3,🇸🇳,Senegal
2574,U+1F1F8 U+1F1F4,🇸🇴,Somalia
2575,U+1F1F8 U+1F1F7,🇸🇷,Suriname
2576,U+1F1F8 U+1F1F8,🇸🇸,South Sudan
2577,U+1F1F8 U+1F1F9,🇸🇹,São Tomé & Príncipe
2578,U+1F1F8 U+1F1FB,🇸🇻,El Salvador
2579,U+1F1F8 U+1F1FD,🇸🇽,Sint Maarten
2580,U+1F1F8 U+1F1FE,🇸🇾,Syria
2581,U+1F1F8 U+1F1FF,🇸🇿,Swaziland
2582,U+1F1F9 U+1F1E6,🇹🇦,Tristan da Cunha
2583,U+1F1F9 U+1F1E8,🇹🇨,Turks & Caicos Islands
2584,U+1F1F9 U+1F1E9,🇹🇩,Chad
2585,U+1F1F9 U+1F1EB,🇹🇫,French Southern Territories
2586,U+1F1F9 U+1F1EC,🇹🇬,Togo
2587,U+1F1F9 U+1F1ED,🇹🇭,Thailand
2588,U+1F1F9 U+1F1EF,🇹🇯,Tajikistan
2589,U+1F1F9 U+1F1F0,🇹🇰,Tokelau
2590,U+1F1F9 U+1F1F1,🇹🇱,Timor-Leste
2591,U+1F1F9 U+1F1F2,🇹🇲,Turkmenistan
2592,U+1F1F9 U+1F1F3,🇹🇳,Tunisia
2593,U+1F1F9 U+1F1F4,🇹🇴,Tonga
2594,U+1F1F9 U+1F1F7,🇹🇷,Turkey
2595,U+1F1F9 U+1F1F9,🇹🇹,Trinidad & Tobago
2596,U+1F1F9 U+1F1FB,🇹🇻,Tuvalu
2597,U+1F1F9 U+1F1FC,🇹🇼,Taiwan
2598,U+1F1F9 U+1F1FF,🇹🇿,Tanzania
2599,U+1F1FA U+1F1E6,🇺🇦,Ukraine
2600,U+1F1FA U+1F1EC,🇺🇬,Uganda
2601,U+1F1FA U+1F1F2,🇺🇲,U.S. Outlying Islands
2602,U+1F1FA U+1F1F3,🇺🇳,United Nations
2603,U+1F1FA U+1F1F8,🇺🇸,United States
2604,U+1F1FA U+1F1FE,🇺🇾,Uruguay
2605,U+1F1FA U+1F1FF,🇺🇿,Uzbekistan
2606,U+1F1FB U+1F1E6,🇻🇦,Vatican City
2607,U+1F1FB U+1F1E8,🇻🇨,St. Vincent & Grenadines
2608,U+1F1FB U+1F1EA,🇻🇪,Venezuela
2609,U+1F1FB U+1F1EC,🇻🇬,British Virgin Islands
2610,U+1F1FB U+1F1EE,🇻🇮,U.S. Virgin Islands
2611,U+1F1FB U+1F1F3,🇻🇳,Vietnam
2612,U+1F1FB U+1F1FA,🇻🇺,Vanuatu
2613,U+1F1FC U+1F1EB,🇼🇫,Wallis & Futuna
2614,U+1F1FC U+1F1F8,🇼🇸,Samoa
2615,U+1F1FD U+1F1F0,🇽🇰,Kosovo
2616,U+1F1FE U+1F1EA,🇾🇪,Yemen
2617,U+1F1FE U+1F1F9,🇾🇹,Mayotte
2618,U+1F1FF U+1F1E6,🇿🇦,South Africa
2619,U+1F1FF U+1F1F2,🇿🇲,Zambia
2620,U+1F1FF U+1F1FC,🇿🇼,Zimbabwe
