column_a,code,browser,cldr_short_name
728,U+1F64B U+1F3FC,🙋🏼,person raising hand: medium-light skin tone
729,U+1F64B U+1F3FD,🙋🏽,person raising hand: medium skin tone
730,U+1F64B U+1F3FE,🙋🏾,person raising hand: medium-dark skin tone
731,U+1F64B U+1F3FF,🙋🏿,person raising hand: dark skin tone
732,U+1F64B U+200D U+2642 U+FE0F,🙋‍♂️,man raising hand
733,U+1F64B U+1F3FB U+200D U+2642 U+FE0F,🙋🏻‍♂️,man raising hand: light skin tone
734,U+1F64B U+1F3FC U+200D U+2642 U+FE0F,🙋🏼‍♂️,man raising hand: medium-light skin tone
735,U+1F64B U+1F3FD U+200D U+2642 U+FE0F,🙋🏽‍♂️,man raising hand: medium skin tone
736,U+1F64B U+1F3FE U+200D U+2642 U+FE0F,🙋🏾‍♂️,man raising hand: medium-dark skin tone
737,U+1F64B U+1F3FF U+200D U+2642 U+FE0F,🙋🏿‍♂️,man raising hand: dark skin tone
738,U+1F64B U+200D U+2640 U+FE0F,🙋‍♀️,woman raising hand
739,U+1F64B U+1F3FB U+200D U+2640 U+FE0F,🙋🏻‍♀️,woman raising hand: light skin tone
740,U+1F64B U+1F3FC U+200D U+2640 U+FE0F,🙋🏼‍♀️,woman raising hand: medium-light skin tone
741,U+1F64B U+1F3FD U+200D U+2640 U+FE0F,🙋🏽‍♀️,woman raising hand: medium skin tone
742,U+1F64B U+1F3FE U+200D U+2640 U+FE0F,🙋🏾‍♀️,woman raising hand: medium-dark skin tone
743,U+1F64B U+1F3FF U+200D U+2640 U+FE0F,🙋🏿‍♀️,woman raising hand: dark skin tone
744,U+1F647,🙇,person bowing
745,U+1F647 U+1F3FB,🙇🏻,person bowing: light skin tone
746,U+1F647 U+1F3FC,🙇🏼,person bowing: medium-light skin tone
747,U+1F647 U+1F3FD,🙇🏽,person bowing: medium skin tone
748,U+1F647 U+1F3FE,🙇🏾,person bowing: medium-dark skin tone
749,U+1F647 U+1F3FF,🙇🏿,person bowing: dark skin tone
750,U+1F647 U+200D U+2642 U+FE0F,🙇‍♂️,man bowing
751,U+1F647 U+1F3FB U+200D U+2642 U+FE0F,🙇🏻‍♂️,man bowing: light skin tone
752,U+1F647 U+1F3FC U+200D U+2642 U+FE0F,🙇🏼‍♂️,man bowing: medium-light skin tone
753,U+1F647 U+1F3FD U+200D U+2642 U+FE0F,🙇🏽‍♂️,man bowing: medium skin tone
754,U+1F647 U+1F3FE U+200D U+2642 U+FE0F,🙇🏾‍♂️,man bowing: medium-dark skin tone
755,U+1F647 U+1F3FF U+200D U+2642 U+FE0F,🙇🏿‍♂️,man bowing: dark skin tone
756,U+1F647 U+200D U+2640 U+FE0F,🙇‍♀️,woman bowing
757,U+1F647 U+1F3FB U+200D U+2640 U+FE0F,🙇🏻‍♀️,woman bowing: light skin tone
758,U+1F647 U+1F3FC U+200D U+2640 U+FE0F,🙇🏼‍♀️,woman bowing: medium-light skin tone
759,U+1F647 U+1F3FD U+200D U+2640 U+FE0F,🙇🏽‍♀️,woman bowing: medium skin tone
760,U+1F647 U+1F3FE U+200D U+2640 U+FE0F,🙇🏾‍♀️,woman bowing: medium-dark skin tone
761,U+1F647 U+1F3FF U+200D U+2640 U+FE0F,🙇🏿‍♀️,woman bowing: dark skin tone
762,U+1F926,🤦,person facepalming
763,U+1F926 U+1F3FB,🤦🏻,person facepalming: light skin tone
764,U+1F926 U+1F3FC,🤦🏼,person facepalming: medium-light skin tone
765,U+1F926 U+1F3FD,🤦🏽,person facepalming: medium skin tone
766,U+1F926 U+1F3FE,🤦🏾,person facepalming: medium-dark skin tone
767,U+1F926 U+1F3FF,🤦🏿,person facepalming: dark skin tone
768,U+1F926 U+200D U+2642 U+FE0F,🤦‍♂️,man facepalming
769,U+1F926 U+1F3FB U+200D U+2642 U+FE0F,🤦🏻‍♂️,man facepalming: light skin tone
770,U+1F926 U+1F3FC U+200D U+2642 U+FE0F,🤦🏼‍♂️,man facepalming: medium-light skin tone
771,U+1F926 U+1F3FD U+200D U+2642 U+FE0F,🤦🏽‍♂️,man facepalming: medium skin tone
772,U+1F926 U+1F3FE U+200D U+2642 U+FE0F,🤦🏾‍♂️,man facepalming: medium-dark skin tone
773,U+1F926 U+1F3FF U+200D U+2642 U+FE0F,🤦🏿‍♂️,man facepalming: dark skin tone
774,U+1F926 U+200D U+2640 U+FE0F,🤦‍♀️,woman facepalming
775,U+1F926 U+1F3FB U+200D U+2640 U+FE0F,🤦🏻‍♀️,woman facepalming: light skin tone
776,U+1F926 U+1F3FC U+200D U+2640 U+FE0F,🤦🏼‍♀️,woman facepalming: medium-light skin tone
777,U+1F926 U+1F3FD U+200D U+2640 U+FE0F,🤦🏽‍♀️,woman facepalming: medium skin tone
778,U+1F926 U+1F3FE U+200D U+2640 U+FE0F,🤦🏾‍♀️,woman facepalming: medium-dark skin tone
779,U+1F926 U+1F3FF U+200D U+2640 U+FE0F,🤦🏿‍♀️,woman facepalming: dark skin tone
780,U+1F937,🤷,person shrugging
781,U+1F937 U+1F3FB,🤷🏻,person shrugging: light skin tone
782,U+1F937 U+1F3FC,🤷🏼,person shrugging: medium-light skin tone
783,U+1F937 U+1F3FD,🤷🏽,person shrugging: medium skin tone
784,U+1F937 U+1F3FE,🤷🏾,person shrugging: medium-dark skin tone
785,U+1F937 U+1F3FF,🤷🏿,person shrugging: dark skin tone
786,U+1F937 U+200D U+2642 U+FE0F,🤷‍♂️,man shrugging
787,U+1F937 U+1F3FB U+200D U+2642 U+FE0F,🤷🏻‍♂️,man shrugging: light skin tone
788,U+1F937 U+1F3FC U+200D U+2642 U+FE0F,🤷🏼‍♂️,man shrugging: medium-light skin tone
789,U+1F937 U+1F3FD U+200D U+2642 U+FE0F,🤷🏽‍♂️,man shrugging: medium skin tone
790,U+1F937 U+1F3FE U+200D U+2642 U+FE0F,🤷🏾‍♂️,man shrugging: medium-dark skin tone
791,U+1F937 U+1F3FF U+200D U+2642 U+FE0F,🤷🏿‍♂️,man shrugging: dark skin tone
792,U+1F937 U+200D U+2640 U+FE0F,🤷‍♀️,woman shrugging
793,U+1F937 U+1F3FB U+200D U+2640 U+FE0F,🤷🏻‍♀️,woman shrugging: light skin tone
794,U+1F937 U+1F3FC U+200D U+2640 U+FE0F,🤷🏼‍♀️,woman shrugging: medium-light skin tone
795,U+1F937 U+1F3FD U+200D U+2640 U+FE0F,🤷🏽‍♀️,woman shrugging: medium skin tone
796,U+1F937 U+1F3FE U+200D U+2640 U+FE0F,🤷🏾‍♀️,woman shrugging: medium-dark skin tone
797,U+1F937 U+1F3FF U+200D U+2640 U+FE0F,🤷🏿‍♀️,woman shrugging: dark skin tone
