column_a,code,browser,cldr_short_name
286,U+1F469 U+1F3FE U+200D U+1F52C,👩🏾‍🔬,woman scientist: medium-dark skin tone
287,U+1F469 U+1F3FF U+200D U+1F52C,👩🏿‍🔬,woman scientist: dark skin tone
288,U+1F468 U+200D U+1F4BB,👨‍💻,man technologist
289,U+1F468 U+1F3FB U+200D U+1F4BB,👨🏻‍💻,man technologist: light skin tone
290,U+1F468 U+1F3FC U+200D U+1F4BB,👨🏼‍💻,man technologist: medium-light skin tone
291,U+1F468 U+1F3FD U+200D U+1F4BB,👨🏽‍💻,man technologist: medium skin tone
292,U+1F468 U+1F3FE U+200D U+1F4BB,👨🏾‍💻,man technologist: medium-dark skin tone
293,U+1F468 U+1F3FF U+200D U+1F4BB,👨🏿‍💻,man technologist: dark skin tone
294,U+1F469 U+200D U+1F4BB,👩‍💻,woman technologist
295,U+1F469 U+1F3FB U+200D U+1F4BB,👩🏻‍💻,woman technologist: light skin tone
296,U+1F469 U+1F3FC U+200D U+1F4BB,👩🏼‍💻,woman technologist: medium-light skin tone
297,U+1F469 U+1F3FD U+200D U+1F4BB,👩🏽‍💻,woman technologist: medium skin tone
298,U+1F469 U+1F3FE U+200D U+1F4BB,👩🏾‍💻,woman technologist: medium-dark skin tone
299,U+1F469 U+1F3FF U+200D U+1F4BB,👩🏿‍💻,woman technologist: dark skin tone
300,U+1F468 U+200D U+1F3A4,👨‍🎤,man singer
301,U+1F468 U+1F3FB U+200D U+1F3A4,👨🏻‍🎤,man singer: light skin tone
302,U+1F468 U+1F3FC U+200D U+1F3A4,👨🏼‍🎤,man singer: medium-light skin tone
303,U+1F468 U+1F3FD U+200D U+1F3A4,👨🏽‍🎤,man singer: medium skin tone
304,U+1F468 U+1F3FE U+200D U+1F3A4,👨🏾‍🎤,man singer: medium-dark skin tone
305,U+1F468 U+1F3FF U+200D U+1F3A4,👨🏿‍🎤,man singer: dark skin tone
306,U+1F469 U+200D U+1F3A4,👩‍🎤,woman singer
