column_a,code,browser,cldr_short_name
1065,U+1F3CB U+1F3FB,🏋🏻,person lifting weights: light skin tone
1066,U+1F3CB U+1F3FC,🏋🏼,person lifting weights: medium-light skin tone
1067,U+1F3CB U+1F3FD,🏋🏽,person lifting weights: medium skin tone
1068,U+1F3CB U+1F3FE,🏋🏾,person lifting weights: medium-dark skin tone
1069,U+1F3CB U+1F3FF,🏋🏿,person lifting weights: dark skin tone
1070,U+1F3CB U+FE0F U+200D U+2642 U+FE0F,🏋️‍♂️,man lifting weights
1071,U+1F3CB U+1F3FB U+200D U+2642 U+FE0F,🏋🏻‍♂️,man lifting weights: light skin tone
1072,U+1F3CB U+1F3FC U+200D U+2642 U+FE0F,🏋🏼‍♂️,man lifting weights: medium-light skin tone
1073,U+1F3CB U+1F3FD U+200D U+2642 U+FE0F,🏋🏽‍♂️,man lifting weights: medium skin tone
1074,U+1F3CB U+1F3FE U+200D U+2642 U+FE0F,🏋🏾‍♂️,man lifting weights: medium-dark skin tone
1075,U+1F3CB U+1F3FF U+200D U+2642 U+FE0F,🏋🏿‍♂️,man lifting weights: dark skin tone
1076,U+1F3CB U+FE0F U+200D U+2640 U+FE0F,🏋️‍♀️,woman lifting weights
1077,U+1F3CB U+1F3FB U+200D U+2640 U+FE0F,🏋🏻‍♀️,woman lifting weights: light skin tone
1078,U+1F3CB U+1F3FC U+200D U+2640 U+FE0F,🏋🏼‍♀️,woman lifting weights: medium-light skin tone
1079,U+1F3CB U+1F3FD U+200D U+2640 U+FE0F,🏋🏽‍♀️,woman lifting weights: medium skin tone
1080,U+1F3CB U+1F3FE U+200D U+2640 U+FE0F,🏋🏾‍♀️,woman lifting weights: medium-dark skin tone
1081,U+1F3CB U+1F3FF U+200D U+2640 U+FE0F,🏋🏿‍♀️,woman lifting weights: dark skin tone
1082,U+1F6B4,🚴,person biking
1083,U+1F6B4 U+1F3FB,🚴🏻,person biking: light skin tone
1084,U+1F6B4 U+1F3FC,🚴🏼,person biking: medium-light skin tone
1085,U+1F6B4 U+1F3FD,🚴🏽,person biking: medium skin tone
1086,U+1F6B4 U+1F3FE,🚴🏾,person biking: medium-dark skin tone
1087,U+1F6B4 U+1F3FF,🚴🏿,person biking: dark skin tone
1088,U+1F6B4 U+200D U+2642 U+FE0F,🚴‍♂️,man biking
1089,U+1F6B4 U+1F3FB U+200D U+2642 U+FE0F,🚴🏻‍♂️,man biking: light skin tone
1090,U+1F6B4 U+1F3FC U+200D U+2642 U+FE0F,🚴🏼‍♂️,man biking: medium-light skin tone
1091,U+1F6B4 U+1F3FD U+200D U+2642 U+FE0F,🚴🏽‍♂️,man biking: medium skin tone
1092,U+1F6B4 U+1F3FE U+200D U+2642 U+FE0F,🚴🏾‍♂️,man biking: medium-dark skin tone
1093,U+1F6B4 U+1F3FF U+200D U+2642 U+FE0F,🚴🏿‍♂️,man biking: dark skin tone
1094,U+1F6B4 U+200D U+2640 U+FE0F,🚴‍♀️,woman biking
1095,U+1F6B4 U+1F3FB U+200D U+2640 U+FE0F,🚴🏻‍♀️,woman biking: light skin tone
1096,U+1F6B4 U+1F3FC U+200D U+2640 U+FE0F,🚴🏼‍♀️,woman biking: medium-light skin tone
1097,U+1F6B4 U+1F3FD U+200D U+2640 U+FE0F,🚴🏽‍♀️,woman biking: medium skin tone
1098,U+1F6B4 U+1F3FE U+200D U+2640 U+FE0F,🚴🏾‍♀️,woman biking: medium-dark skin tone
1099,U+1F6B4 U+1F3FF U+200D U+2640 U+FE0F,🚴🏿‍♀️,woman biking: dark skin tone
1100,U+1F6B5,🚵,person mountain biking
1101,U+1F6B5 U+1F3FB,🚵🏻,person mountain biking: light skin tone
1102,U+1F6B5 U+1F3FC,🚵🏼,person mountain biking: medium-light skin tone
1103,U+1F6B5 U+1F3FD,🚵🏽,person mountain biking: medium skin tone
1104,U+1F6B5 U+1F3FE,🚵🏾,person mountain biking: medium-dark skin tone
1105,U+1F6B5 U+1F3FF,🚵🏿,person mountain biking: dark skin tone
1106,U+1F6B5 U+200D U+2642 U+FE0F,🚵‍♂️,man mountain biking
1107,U+1F6B5 U+1F3FB U+200D U+2642 U+FE0F,🚵🏻‍♂️,man mountain biking: light skin tone
1108,U+1F6B5 U+1F3FC U+200D U+2642 U+FE0F,🚵🏼‍♂️,man mountain biking: medium-light skin tone
1109,U+1F6B5 U+1F3FD U+200D U+2642 U+FE0F,🚵🏽‍♂️,man mountain biking: medium skin tone
1110,U+1F6B5 U+1F3FE U+200D U+2642 U+FE0F,🚵🏾‍♂️,man mountain biking: medium-dark skin tone
1111,U+1F6B5 U+1F3FF U+200D U+2642 U+FE0F,🚵🏿‍♂️,man mountain biking: dark skin tone
1112,U+1F6B5 U+200D U+2640 U+FE0F,🚵‍♀️,woman mountain biking
1113,U+1F6B5 U+1F3FB U+200D U+2640 U+FE0F,🚵🏻‍♀️,woman mountain biking: light skin tone
1114,U+1F6B5 U+1F3FC U+200D U+2640 U+FE0F,🚵🏼‍♀️,woman mountain biking: medium-light skin tone
1115,U+1F6B5 U+1F3FD U+200D U+2640 U+FE0F,🚵🏽‍♀️,woman mountain biking: medium skin tone
1116,U+1F6B5 U+1F3FE U+200D U+2640 U+FE0F,🚵🏾‍♀️,woman mountain biking: medium-dark skin tone
1117,U+1F6B5 U+1F3FF U+200D U+2640 U+FE0F,🚵🏿‍♀️,woman mountain biking: dark skin tone
1118,U+1F3CE,🏎,racing car
1119,U+1F3CD,🏍,motorcycle
1120,U+1F938,🤸,person cartwheeling
1121,U+1F938 U+1F3FB,🤸🏻,person cartwheeling: light skin tone
1122,U+1F938 U+1F3FC,🤸🏼,person cartwheeling: medium-light skin tone
1123,U+1F938 U+1F3FD,🤸🏽,person cartwheeling: medium skin tone
1124,U+1F938 U+1F3FE,🤸🏾,person cartwheeling: medium-dark skin tone
1125,U+1F938 U+1F3FF,🤸🏿,person cartwheeling: dark skin tone
1126,U+1F938 U+200D U+2642 U+FE0F,🤸‍♂️,man cartwheeling
1127,U+1F938 U+1F3FB U+200D U+2642 U+FE0F,🤸🏻‍♂️,man cartwheeling: light skin tone
1128,U+1F938 U+1F3FC U+200D U+2642 U+FE0F,🤸🏼‍♂️,man cartwheeling: medium-light skin tone
1129,U+1F938 U+1F3FD U+200D U+2642 U+FE0F,🤸🏽‍♂️,man cartwheeling: medium skin tone
1130,U+1F938 U+1F3FE U+200D U+2642 U+FE0F,🤸🏾‍♂️,man cartwheeling: medium-dark skin tone
1131,U+1F938 U+1F3FF U+200D U+2642 U+FE0F,🤸🏿‍♂️,man cartwheeling: dark skin tone
1132,U+1F938 U+200D U+2640 U+FE0F,🤸‍♀️,woman cartwheeling
1133,U+1F938 U+1F3FB U+200D U+2640 U+FE0F,🤸🏻‍♀️,woman cartwheeling: light skin tone
